C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/filters/DEBUG.py
Tue Apr 24 19:51:56 2018    FilterResult

         1783975 function calls (1771252 primitive calls) in 4.838 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:980(_recalculate)
       99    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      927    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Box)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(CumfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DescribeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(F_onewayResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FlignerResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Font)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(HistogramResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ImageProperties)
        1    0.000    0.000    0.000    0.000 <string>:5(KendalltauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KruskalResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KstestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LeveneResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LinregressResult)
        1    0.000    0.000    0.000    0.000 <string>:5(MannwhitneyuResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mean)
        1    0.000    0.000    0.000    0.000 <string>:5(MetricInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(NormaltestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Page)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PointbiserialrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Power_divergenceResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RanksumsResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RelfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RepeatedResults)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SigmaclipResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SkewtestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SpearmanrResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Std_dev)
        1    0.000    0.000    0.000    0.000 <string>:5(Text)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_1sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_relResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Variance)
        1    0.000    0.000    0.000    0.000 <string>:5(WeightedTauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(WilcoxonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(_TagInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_XYPair)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:207(DibImageFile)
        1    0.000    0.000    0.003    0.003 BmpImagePlugin.py:27(<module>)
       12    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:56(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:246(_SelectorContext)
        1    0.000    0.000    0.000    0.000 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:104(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1138(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:123(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1248(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1360(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1435(XMLParser)
        1    0.000    0.000    0.002    0.002 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:494(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:542(ElementTree)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
       12    0.000    0.000    0.000    0.000 GifImagePlugin.py:38(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:102(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:61(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:24(GimpPaletteFile)
        8    0.000    0.000    0.001    0.000 Image.py:1200(getdata)
        4    0.000    0.000    0.748    0.187 Image.py:1701(resize)
       20    0.000    0.000    0.043    0.002 Image.py:1854(save)
       16    0.000    0.000    0.000    0.000 Image.py:1936(seek)
        1    0.000    0.000    0.000    0.000 Image.py:2226(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2231(ImageTransformHandler)
       32    0.000    0.000    0.000    0.000 Image.py:2248(_check_size)
       20    0.000    0.000    0.203    0.010 Image.py:2266(new)
        8    0.000    0.000    0.289    0.036 Image.py:2297(frombytes)
        4    0.000    0.000    0.288    0.072 Image.py:2340(frombuffer)
        4    0.000    0.000    0.289    0.072 Image.py:2401(fromarray)
       12    0.000    0.000    0.000    0.000 Image.py:2492(_decompression_bomb_check)
       12    0.000    0.000    0.025    0.002 Image.py:2512(open)
       12    0.000    0.000    0.015    0.001 Image.py:2556(_open_core)
        6    0.000    0.000    0.000    0.000 Image.py:2689(register_open)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        6    0.000    0.000    0.000    0.000 Image.py:2704(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:2715(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:2726(register_save_all)
       13    0.000    0.000    0.000    0.000 Image.py:2738(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:2748(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:2858(_apply_env_variables)
       12    0.000    0.000    0.000    0.000 Image.py:286(_conv_type_shape)
       32    0.000    0.000    0.009    0.000 Image.py:358(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:36(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:39(DecompressionBombError)
       32    0.000    0.000    0.000    0.000 Image.py:418(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:42(_imaging_not_installed)
       32    0.000    0.000    0.000    0.000 Image.py:440(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:469(_E)
        1    0.000    0.000    0.000    0.000 Image.py:504(Image)
       60    0.000    0.000    0.000    0.000 Image.py:519(__init__)
       24    0.000    0.000    0.000    0.000 Image.py:539(_new)
        4    0.000    0.000    0.000    0.000 Image.py:554(__enter__)
        4    0.000    0.000    0.050    0.012 Image.py:557(__exit__)
        4    0.050    0.012    0.050    0.012 Image.py:560(close)
       60    0.000    0.000    0.000    0.000 Image.py:586(__del__)
       12    0.057    0.005    2.485    0.207 Image.py:660(__array_interface__)
       12    0.003    0.000    2.428    0.202 Image.py:696(tobytes)
       20    0.000    0.000    0.086    0.004 Image.py:764(frombytes)
       76    0.000    0.000    0.000    0.000 Image.py:794(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
       20    0.004    0.000    2.045    0.102 ImageFile.py:130(load)
       12    0.000    0.000    0.002    0.000 ImageFile.py:259(load_prepare)
        4    0.000    0.000    0.000    0.000 ImageFile.py:268(load_end)
        1    0.000    0.000    0.000    0.000 ImageFile.py:291(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:321(Parser)
       20    0.000    0.000    0.003    0.000 ImageFile.py:460(_save)
      240    0.000    0.000    0.000    0.000 ImageFile.py:522(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:546(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:558(PyDecoder)
       32    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:75(ImageFile)
       16    0.000    0.000    0.014    0.001 ImageFile.py:78(__init__)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:103(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:117(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:131(ModeFilter)
        4    0.000    0.000    0.010    0.003 ImageFilter.py:138(create_skeleton_image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:149(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:163(BoxBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:183(UnsharpMask)
        1    0.000    0.000    4.839    4.839 ImageFilter.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:208(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:21(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:219(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:228(DETAIL)
        4    0.002    0.000    0.017    0.004 ImageFilter.py:233(create_chromakey_image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:237(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:246(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:255(EMBOSS)
        4    0.003    0.001    0.013    0.003 ImageFilter.py:257(create_com_image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:264(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:273(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:282(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:29(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:293(SHARPEN)
        4    0.000    0.000    1.046    0.262 ImageFilter.py:330(create_scaled_image)
        5    0.000    0.000    0.006    0.001 ImageFilter.py:368(create_folder)
        4    0.000    0.000    0.257    0.064 ImageFilter.py:382(get_image_rotation)
        4    0.000    0.000    0.002    0.001 ImageFilter.py:402(rotate_image)
        1    0.085    0.085    4.007    4.007 ImageFilter.py:421(read_images)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:51(assign_json_values)
        1    0.011    0.011    4.018    4.018 ImageFilter.py:512(main)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:61(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:66(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:80(reassign_calculated_variables)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:89(MedianFilter)
        4    0.000    0.000    0.010    0.003 ImageFilter.py:92(borders)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:23(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 JSONSettings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 JSONSettings.py:26(JSONValues)
        1    0.000    0.000    0.000    0.000 JSONSettings.py:42(parse_data)
       10    0.000    0.000    0.000    0.000 JSONSettings.py:81(get_data)
        8    0.000    0.000    0.000    0.000 JpegImagePlugin.py:151(SOF)
        8    0.000    0.000    0.000    0.000 JpegImagePlugin.py:199(DQT)
       12    0.000    0.000    0.000    0.000 JpegImagePlugin.py:292(_accept)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:299(JpegImageFile)
        8    0.000    0.000    0.013    0.002 JpegImagePlugin.py:304(_open)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:35(<module>)
        8    0.000    0.000    0.012    0.001 JpegImagePlugin.py:415(_getexif)
        8    0.000    0.000    0.001    0.000 JpegImagePlugin.py:418(_getmp)
       16    0.000    0.000    0.010    0.001 JpegImagePlugin.py:422(_fixup_dict)
      400    0.000    0.000    0.000    0.000 JpegImagePlugin.py:425(_fixup)
       16    0.000    0.000    0.010    0.001 JpegImagePlugin.py:433(<dictcomp>)
        8    0.000    0.000    0.012    0.001 JpegImagePlugin.py:436(_getexif)
        8    0.000    0.000    0.001    0.000 JpegImagePlugin.py:481(_getmp)
       16    0.000    0.000    0.000    0.000 JpegImagePlugin.py:52(Skip)
       16    0.000    0.000    0.012    0.001 JpegImagePlugin.py:57(APP)
        4    0.000    0.000    0.014    0.004 JpegImagePlugin.py:763(jpeg_factory)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
        1    0.000    0.000    0.000    0.000 MpoImagePlugin.py:21(<module>)
        1    0.000    0.000    0.000    0.000 MpoImagePlugin.py:38(MpoImageFile)
        4    0.000    0.000    0.006    0.002 MpoImagePlugin.py:44(_open)
        4    0.000    0.000    0.000    0.000 MpoImagePlugin.py:49(<listcomp>)
        4    0.000    0.000    0.000    0.000 MpoImagePlugin.py:63(load_seek)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:22(PaletteFile)
       16    0.000    0.000    0.000    0.000 PngImagePlugin.py:102(read)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:127(close)
       16    0.000    0.000    0.000    0.000 PngImagePlugin.py:134(call)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:140(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:185(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:206(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:283(PngStream)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:285(__init__)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:333(chunk_IHDR)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:348(chunk_IDAT)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:530(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:537(PngImageFile)
        8    0.000    0.000    0.001    0.000 PngImagePlugin.py:542(_open)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:602(load_prepare)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:610(load_read)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:636(load_end)
       60    0.000    0.000    0.001    0.000 PngImagePlugin.py:664(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:675(_idat)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:678(__init__)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:682(write)
       20    0.000    0.000    0.004    0.000 PngImagePlugin.py:686(_save)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:92(ChunkStream)
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(__init__)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        8    0.000    0.000    0.000    0.000 PpmImagePlugin.py:43(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:50(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1537(AppendingTiffWriter)
       12    0.000    0.000    0.000    0.000 TiffImagePlugin.py:252(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:269(IFDRational)
