C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/cnn/DEBUG.py
Tue Apr 24 18:28:41 2018    restats

         3466457 function calls (3324954 primitive calls) in 4.748 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:5(SessionRunValues)
        1    0.000    0.000    0.000    0.000 <string>:5(SoftmaxCrossEntropyWithLogits)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseAccumulatorTakeGradient)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseAdd)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseAddGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseConcat)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseCross)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseFillEmptyRows)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseFillEmptyRowsGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseReduceMaxSparse)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseReduceSumSparse)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseReorder)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseReshape)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseSlice)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseSoftmaxCrossEntropyWithLogits)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseSparseMaximum)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseSparseMinimum)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseSplit)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseTensorValue)
        1    0.000    0.000    0.000    0.000 <string>:5(SparseToSparseSetOperation)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(StepStatsAnalysis)
        1    0.000    0.000    0.000    0.000 <string>:5(StringSplit)
        1    0.000    0.000    0.000    0.000 <string>:5(Svd)
        1    0.000    0.000    0.000    0.000 <string>:5(Switch)
        1    0.000    0.000    0.000    0.000 <string>:5(TakeManySparseFromTensorsMap)
